,study,notation,from_slug,to_slug,difflib,a,b,ab,nmi,cd,ncd
4919,movies,vega-lite,scatter_colored_continuous,box_faceted,44,252,268,308,96,56,208
4920,movies,vega-lite,scatter_colored_continuous,pie_count,35,252,228,292,104,64,253
4921,movies,vega-lite,scatter_colored_continuous,error_bar,44,252,276,328,128,76,275
4922,movies,vega-lite,scatter_colored_continuous,bar_count_ordered,22,252,220,292,112,72,285
4923,movies,vega-lite,scatter_colored_continuous,bar_time,17,252,260,304,96,52,200
4924,movies,vega-lite,scatter_colored_continuous,histogram_colored,17,252,252,300,96,48,190
4925,movies,vega-lite,scatter_colored_continuous,box,37,252,236,284,80,48,190
4926,movies,vega-lite,scatter_colored_continuous,ols_separate,31,252,316,328,88,76,240
4927,movies,vega-lite,scatter_colored_continuous,bar_budget_avg_colored,26,252,264,312,108,60,227
4928,movies,vega-lite,scatter_colored_continuous,bar_count_colored,11,252,240,300,108,60,238
4929,movies,vega-lite,scatter_colored_continuous,histogram_line,27,252,224,284,92,60,238
4930,movies,vega-lite,scatter_colored_continuous,bar_budget,24,252,236,296,104,60,238
4931,movies,vega-lite,scatter_colored_continuous,scatter_connected,23,252,296,324,100,72,243
4932,movies,vega-lite,scatter_colored_continuous,heatmap_count,25,252,240,300,108,60,238
4933,movies,vega-lite,scatter_colored_continuous,heatmap_budget_avg,29,252,256,304,100,52,203
4934,movies,vega-lite,scatter_colored_continuous,scatter_ols_global,44,252,308,328,96,76,246
4935,movies,vega-lite,scatter_colored_continuous,bar_count,24,252,208,284,108,76,301
4936,movies,vega-lite,scatter_colored_continuous,slope,9,252,264,304,92,52,196
4937,movies,vega-lite,scatter_colored_continuous,line,17,252,260,308,104,56,215
4938,movies,vega-lite,scatter_colored_continuous,dotplot,24,252,212,280,96,68,269
4939,movies,vega-lite,scatter_colored_continuous,area_colored,13,252,284,320,104,68,239
4940,movies,vega-lite,scatter_colored_continuous,histogram,27,252,220,284,96,64,253
4941,movies,vega-lite,scatter_colored_continuous,bar_count_100,9,252,252,312,120,60,238
4942,movies,vega-lite,scatter_colored_continuous,histogram_faceted,33,252,276,324,120,72,260
4943,movies,vega-lite,scatter_colored,scatter_ols_separate,48,256,320,332,88,76,237
4944,movies,vega-lite,scatter_colored,line_colored,11,256,284,312,84,56,197
4945,movies,vega-lite,scatter_colored,area_colored_stacked,15,256,300,328,100,72,240
4946,movies,vega-lite,scatter_colored,stripes,19,256,264,316,112,60,227
4947,movies,vega-lite,scatter_colored,bar_budget_avg,24,256,236,296,100,60,234
4948,movies,vega-lite,scatter_colored,box_colored,16,256,264,296,72,40,151
4949,movies,vega-lite,scatter_colored,dotplot_avg,30,256,240,292,88,52,203
4950,movies,vega-lite,scatter_colored,bubble_agg,24,256,280,296,56,40,142
4951,movies,vega-lite,scatter_colored,bar_count_horizontal,34,256,220,296,116,76,296
4952,movies,vega-lite,scatter_colored,scatter,12,256,232,260,32,28,109
4953,movies,vega-lite,scatter_colored,bubble,12,256,268,276,28,20,74
4954,movies,vega-lite,scatter_colored,histogram_mean,23,256,236,292,92,56,218
4955,movies,vega-lite,scatter_colored,scatter_colored_symbol,12,256,272,280,32,24,88
4956,movies,vega-lite,scatter_colored,bar_count_single,33,256,224,284,88,60,234
4957,movies,vega-lite,scatter_colored,scatter_colored_continuous,2,256,252,268,28,16,62
4958,movies,vega-lite,scatter_colored,box_faceted,42,256,268,304,84,48,179
4959,movies,vega-lite,scatter_colored,pie_count,33,256,228,288,92,60,234
4960,movies,vega-lite,scatter_colored,error_bar,44,256,276,336,140,80,289
4961,movies,vega-lite,scatter_colored,bar_count_ordered,22,256,220,300,124,80,312
4962,movies,vega-lite,scatter_colored,bar_time,23,256,260,316,116,60,230
4963,movies,vega-lite,scatter_colored,histogram_colored,15,256,252,292,76,40,156
4964,movies,vega-lite,scatter_colored,box,37,256,236,288,84,52,203
4965,movies,vega-lite,scatter_colored,ols_separate,29,256,316,320,68,64,202
4966,movies,vega-lite,scatter_colored,bar_budget_avg_colored,24,256,264,308,96,52,196
4967,movies,vega-lite,scatter_colored,bar_count_colored,9,256,240,292,88,52,203
4968,movies,vega-lite,scatter_colored,histogram_line,27,256,224,292,104,68,265
4969,movies,vega-lite,scatter_colored,bar_budget,24,256,236,296,100,60,234
4970,movies,vega-lite,scatter_colored,scatter_connected,23,256,296,332,112,76,256
4971,movies,vega-lite,scatter_colored,heatmap_count,23,256,240,296,96,56,218
4972,movies,vega-lite,scatter_colored,heatmap_budget_avg,27,256,256,300,88,44,171
4973,movies,vega-lite,scatter_colored,scatter_ols_global,42,256,308,320,76,64,207
4974,movies,vega-lite,scatter_colored,bar_count,24,256,208,288,112,80,312
4975,movies,vega-lite,scatter_colored,slope,7,256,264,296,72,40,151
4976,movies,vega-lite,scatter_colored,line,23,256,260,316,116,60,230
4977,movies,vega-lite,scatter_colored,dotplot,24,256,212,288,108,76,296
4978,movies,vega-lite,scatter_colored,area_colored,11,256,284,312,84,56,197
4979,movies,vega-lite,scatter_colored,histogram,27,256,220,292,108,72,281
4980,movies,vega-lite,scatter_colored,bar_count_100,7,256,252,304,100,52,203
4981,movies,vega-lite,scatter_colored,histogram_faceted,31,256,276,320,108,64,231
4982,movies,vega-lite,box_faceted,scatter_ols_separate,62,268,320,368,148,100,312
4983,movies,vega-lite,box_faceted,line_colored,50,268,284,344,136,76,267
4984,movies,vega-lite,box_faceted,area_colored_stacked,54,268,300,360,152,92,306
4985,movies,vega-lite,box_faceted,stripes,42,268,264,340,148,76,283
4986,movies,vega-lite,box_faceted,bar_budget_avg,47,268,236,300,96,64,238
4987,movies,vega-lite,box_faceted,box_colored,29,268,264,292,52,28,104
4988,movies,vega-lite,box_faceted,dotplot_avg,34,268,240,304,100,64,238
4989,movies,vega-lite,box_faceted,bubble_agg,39,268,280,328,108,60,214
4990,movies,vega-lite,box_faceted,bar_count_horizontal,36,268,220,296,104,76,283
4991,movies,vega-lite,box_faceted,scatter,33,268,232,300,100,68,253
4992,movies,vega-lite,box_faceted,bubble,33,268,268,312,88,44,164
4993,movies,vega-lite,box_faceted,histogram_mean,56,268,236,320,136,84,313
4994,movies,vega-lite,box_faceted,scatter_colored_symbol,31,268,272,308,76,40,147
4995,movies,vega-lite,box_faceted,bar_count_single,35,268,224,292,92,68,253
4996,movies,vega-lite,box_faceted,scatter_colored_continuous,44,268,252,308,96,56,208
4997,movies,vega-lite,box_faceted,scatter_colored,42,268,256,300,76,44,164
4998,movies,vega-lite,box_faceted,pie_count,36,268,228,300,104,72,268
4999,movies,vega-lite,box_faceted,error_bar,60,268,276,344,144,76,275
5000,movies,vega-lite,box_faceted,bar_count_ordered,45,268,220,304,120,84,313
5001,movies,vega-lite,box_faceted,bar_time,62,268,260,340,152,80,298
5002,movies,vega-lite,box_faceted,histogram_colored,47,268,252,308,96,56,208
5003,movies,vega-lite,box_faceted,box,52,268,236,284,64,48,179
5004,movies,vega-lite,box_faceted,ols_separate,70,268,316,356,128,88,278
5005,movies,vega-lite,box_faceted,bar_budget_avg_colored,33,268,264,312,92,48,179
5006,movies,vega-lite,box_faceted,bar_count_colored,40,268,240,300,92,60,223
5007,movies,vega-lite,box_faceted,histogram_line,59,268,224,308,124,84,313
5008,movies,vega-lite,box_faceted,bar_budget,47,268,236,300,96,64,238
5009,movies,vega-lite,box_faceted,scatter_connected,38,268,296,364,164,96,324
5010,movies,vega-lite,box_faceted,heatmap_count,40,268,240,304,100,64,238
5011,movies,vega-lite,box_faceted,heatmap_budget_avg,44,268,256,308,92,52,194
5012,movies,vega-lite,box_faceted,scatter_ols_global,56,268,308,356,136,88,285
5013,movies,vega-lite,box_faceted,bar_count,41,268,208,300,124,92,343
5014,movies,vega-lite,box_faceted,slope,46,268,264,316,100,52,194
5015,movies,vega-lite,box_faceted,line,62,268,260,344,160,84,313
5016,movies,vega-lite,box_faceted,dotplot,40,268,212,296,112,84,313
5017,movies,vega-lite,box_faceted,area_colored,50,268,284,344,136,76,267
5018,movies,vega-lite,box_faceted,histogram,59,268,220,308,128,88,328
5019,movies,vega-lite,box_faceted,bar_count_100,44,268,252,312,104,60,223
5020,movies,vega-lite,box_faceted,histogram_faceted,31,268,276,308,72,40,144
5021,movies,vega-lite,pie_count,scatter_ols_separate,67,228,320,356,164,128,400
5022,movies,vega-lite,pie_count,line_colored,41,228,284,312,112,84,295
5023,movies,vega-lite,pie_count,area_colored_stacked,45,228,300,324,120,96,320
5024,movies,vega-lite,pie_count,stripes,31,228,264,304,116,76,287
5025,movies,vega-lite,pie_count,bar_budget_avg,9,228,236,272,80,44,186
5026,movies,vega-lite,pie_count,box_colored,32,228,264,292,92,64,242
5027,movies,vega-lite,pie_count,dotplot_avg,17,228,240,288,108,60,250
5028,movies,vega-lite,pie_count,bubble_agg,43,228,280,308,108,80,285
5029,movies,vega-lite,pie_count,bar_count_horizontal,4,228,220,252,56,32,140
5030,movies,vega-lite,pie_count,scatter,11,228,232,284,108,56,241
5031,movies,vega-lite,pie_count,bubble,32,228,268,300,104,72,268
5032,movies,vega-lite,pie_count,histogram_mean,24,228,236,288,112,60,254
5033,movies,vega-lite,pie_count,scatter_colored_symbol,32,228,272,304,108,76,279
5034,movies,vega-lite,pie_count,bar_count_single,2,228,224,236,20,12,52
5035,movies,vega-lite,pie_count,scatter_colored_continuous,35,228,252,296,112,68,269
5036,movies,vega-lite,pie_count,scatter_colored,33,228,256,288,92,60,234
5037,movies,vega-lite,pie_count,box_faceted,36,228,268,300,104,72,268
5038,movies,vega-lite,pie_count,error_bar,38,228,276,328,152,100,362
5039,movies,vega-lite,pie_count,bar_count_ordered,6,228,220,260,72,40,175
5040,movies,vega-lite,pie_count,bar_time,18,228,260,304,120,76,292
5041,movies,vega-lite,pie_count,histogram_colored,29,228,252,272,64,44,174
5042,movies,vega-lite,pie_count,box,10,228,236,280,96,52,220
5043,movies,vega-lite,pie_count,ols_separate,61,228,316,348,152,120,379
5044,movies,vega-lite,pie_count,bar_budget_avg_colored,32,228,264,288,84,60,227
5045,movies,vega-lite,pie_count,bar_count_colored,29,228,240,256,44,28,116
5046,movies,vega-lite,pie_count,histogram_line,12,228,224,268,84,44,192
5047,movies,vega-lite,pie_count,bar_budget,9,228,236,272,80,44,186
5048,movies,vega-lite,pie_count,scatter_connected,42,228,296,340,156,112,378
5049,movies,vega-lite,pie_count,heatmap_count,29,228,240,260,52,32,133
5050,movies,vega-lite,pie_count,heatmap_budget_avg,33,228,256,280,76,52,203
5051,movies,vega-lite,pie_count,scatter_ols_global,61,228,308,344,152,116,376
5052,movies,vega-lite,pie_count,bar_count,8,228,208,252,68,44,192
5053,movies,vega-lite,pie_count,slope,37,228,264,292,92,64,242
5054,movies,vega-lite,pie_count,line,18,228,260,308,128,80,307
5055,movies,vega-lite,pie_count,dotplot,8,228,212,252,64,40,175
5056,movies,vega-lite,pie_count,area_colored,41,228,284,312,112,84,295
5057,movies,vega-lite,pie_count,histogram,12,228,220,264,80,44,192
5058,movies,vega-lite,pie_count,bar_count_100,33,228,252,272,64,44,174
5059,movies,vega-lite,pie_count,histogram_faceted,32,228,276,296,88,68,246
5060,movies,vega-lite,error_bar,scatter_ols_separate,54,276,320,380,164,104,325
5061,movies,vega-lite,error_bar,line_colored,60,276,284,372,184,96,338
5062,movies,vega-lite,error_bar,area_colored_stacked,65,276,300,384,192,108,360
5063,movies,vega-lite,error_bar,stripes,61,276,264,352,164,88,318
5064,movies,vega-lite,error_bar,bar_budget_avg,46,276,236,316,120,80,289
5065,movies,vega-lite,error_bar,box_colored,56,276,264,340,140,76,275
5066,movies,vega-lite,error_bar,dotplot_avg,28,276,240,288,60,48,173
5067,movies,vega-lite,error_bar,bubble_agg,81,276,280,348,140,72,257
5068,movies,vega-lite,error_bar,bar_count_horizontal,41,276,220,308,120,88,318
5069,movies,vega-lite,error_bar,scatter,46,276,232,312,116,80,289
5070,movies,vega-lite,error_bar,bubble,70,276,268,348,152,80,289
5071,movies,vega-lite,error_bar,histogram_mean,54,276,236,324,136,88,318
5072,movies,vega-lite,error_bar,scatter_colored_symbol,70,276,272,344,140,72,260
5073,movies,vega-lite,error_bar,bar_count_single,43,276,224,320,140,96,347
5074,movies,vega-lite,error_bar,scatter_colored_continuous,58,276,252,328,128,76,275
5075,movies,vega-lite,error_bar,scatter_colored,58,276,256,336,140,80,289
5076,movies,vega-lite,error_bar,box_faceted,74,276,268,344,144,76,275
5077,movies,vega-lite,error_bar,pie_count,44,276,228,328,152,100,362
5078,movies,vega-lite,error_bar,bar_count_ordered,43,276,220,312,128,92,333
5079,movies,vega-lite,error_bar,bar_time,55,276,260,348,160,88,318
5080,movies,vega-lite,error_bar,histogram_colored,62,276,252,340,152,88,318
5081,movies,vega-lite,error_bar,box,38,276,236,312,112,76,275
5082,movies,vega-lite,error_bar,ols_separate,86,276,316,388,184,112,354
5083,movies,vega-lite,error_bar,bar_budget_avg_colored,58,276,264,340,140,76,275
5084,movies,vega-lite,error_bar,bar_count_colored,48,276,240,328,140,88,318
5085,movies,vega-lite,error_bar,histogram_line,57,276,224,316,132,92,333
5086,movies,vega-lite,error_bar,bar_budget,46,276,236,316,120,80,289
5087,movies,vega-lite,error_bar,scatter_connected,77,276,296,364,156,88,297
5088,movies,vega-lite,error_bar,heatmap_count,62,276,240,332,148,92,333
5089,movies,vega-lite,error_bar,heatmap_budget_avg,66,276,256,336,140,80,289
5090,movies,vega-lite,error_bar,scatter_ols_global,48,276,308,368,152,92,298
5091,movies,vega-lite,error_bar,bar_count,39,276,208,300,116,92,333
5092,movies,vega-lite,error_bar,slope,56,276,264,348,156,84,304
5093,movies,vega-lite,error_bar,line,55,276,260,348,160,88,318
5094,movies,vega-lite,error_bar,dotplot,37,276,212,296,104,84,304
5095,movies,vega-lite,error_bar,area_colored,60,276,284,376,192,100,352
5096,movies,vega-lite,error_bar,histogram,57,276,220,316,136,96,347
5097,movies,vega-lite,error_bar,bar_count_100,52,276,252,344,160,92,333
5098,movies,vega-lite,error_bar,histogram_faceted,71,276,276,356,160,80,289
5099,movies,vega-lite,bar_count_ordered,scatter_ols_separate,69,220,320,368,196,148,462
5100,movies,vega-lite,bar_count_ordered,line_colored,29,220,284,320,136,100,352
5101,movies,vega-lite,bar_count_ordered,area_colored_stacked,33,220,300,336,152,116,386
5102,movies,vega-lite,bar_count_ordered,stripes,17,220,264,296,108,76,287
5103,movies,vega-lite,bar_count_ordered,bar_budget_avg,7,220,236,256,56,36,152
5104,movies,vega-lite,bar_count_ordered,box_colored,33,220,264,296,108,76,287
5105,movies,vega-lite,bar_count_ordered,dotplot_avg,17,220,240,272,84,52,216
5106,movies,vega-lite,bar_count_ordered,bubble_agg,45,220,280,320,140,100,357
5107,movies,vega-lite,bar_count_ordered,bar_count_horizontal,4,220,220,240,40,20,90
5108,movies,vega-lite,bar_count_ordered,scatter,10,220,232,276,100,56,241
5109,movies,vega-lite,bar_count_ordered,bubble,34,220,268,312,136,92,343
5110,movies,vega-lite,bar_count_ordered,histogram_mean,14,220,236,268,80,48,203
5111,movies,vega-lite,bar_count_ordered,scatter_colored_symbol,34,220,272,308,124,88,323
5112,movies,vega-lite,bar_count_ordered,bar_count_single,5,220,224,252,60,32,142
5113,movies,vega-lite,bar_count_ordered,scatter_colored_continuous,22,220,252,296,120,76,301
5114,movies,vega-lite,bar_count_ordered,scatter_colored,22,220,256,300,124,80,312
5115,movies,vega-lite,bar_count_ordered,box_faceted,45,220,268,308,128,88,328
5116,movies,vega-lite,bar_count_ordered,pie_count,6,220,228,260,72,40,175
5117,movies,vega-lite,bar_count_ordered,error_bar,38,220,276,312,128,92,333
5118,movies,vega-lite,bar_count_ordered,bar_time,16,220,260,292,104,72,276
5119,movies,vega-lite,bar_count_ordered,histogram_colored,21,220,252,276,80,56,222
5120,movies,vega-lite,bar_count_ordered,box,9,220,236,268,80,48,203
5121,movies,vega-lite,bar_count_ordered,ols_separate,50,220,316,356,176,136,430
5122,movies,vega-lite,bar_count_ordered,bar_budget_avg_colored,31,220,264,284,84,64,242
5123,movies,vega-lite,bar_count_ordered,bar_count_colored,14,220,240,252,44,32,133
5124,movies,vega-lite,bar_count_ordered,histogram_line,10,220,224,252,60,32,142
5125,movies,vega-lite,bar_count_ordered,bar_budget,7,220,236,256,56,36,152
5126,movies,vega-lite,bar_count_ordered,scatter_connected,41,220,296,332,148,112,378
5127,movies,vega-lite,bar_count_ordered,heatmap_count,16,220,240,260,60,40,166
5128,movies,vega-lite,bar_count_ordered,heatmap_budget_avg,21,220,256,280,84,60,234
5129,movies,vega-lite,bar_count_ordered,scatter_ols_global,63,220,308,356,184,136,441
5130,movies,vega-lite,bar_count_ordered,bar_count,4,220,208,224,20,16,72
5131,movies,vega-lite,bar_count_ordered,slope,24,220,264,292,100,72,272
5132,movies,vega-lite,bar_count_ordered,line,17,220,260,296,112,76,292
5133,movies,vega-lite,bar_count_ordered,dotplot,7,220,212,236,40,24,109
5134,movies,vega-lite,bar_count_ordered,area_colored,29,220,284,320,136,100,352
5135,movies,vega-lite,bar_count_ordered,histogram,9,220,220,248,56,28,127
5136,movies,vega-lite,bar_count_ordered,bar_count_100,18,220,252,268,64,48,190
5137,movies,vega-lite,bar_count_ordered,histogram_faceted,37,220,276,296,96,76,275
5138,movies,vega-lite,bar_time,scatter_ols_separate,70,260,320,384,188,124,387
5139,movies,vega-lite,bar_time,line_colored,13,260,284,296,48,36,126
5140,movies,vega-lite,bar_time,area_colored_stacked,17,260,300,308,56,48,160
5141,movies,vega-lite,bar_time,stripes,1,260,264,268,12,8,30
5142,movies,vega-lite,bar_time,bar_budget_avg,19,260,236,304,112,68,261
5143,movies,vega-lite,bar_time,box_colored,36,260,264,336,148,76,287
5144,movies,vega-lite,bar_time,dotplot_avg,34,260,240,308,116,68,261
5145,movies,vega-lite,bar_time,bubble_agg,34,260,280,336,132,76,271
5146,movies,vega-lite,bar_time,bar_count_horizontal,30,260,220,292,104,72,276
5147,movies,vega-lite,bar_time,scatter,11,260,232,292,92,60,230
5148,movies,vega-lite,bar_time,bubble,29,260,268,328,128,68,253
5149,movies,vega-lite,bar_time,histogram_mean,18,260,236,296,96,60,230
5150,movies,vega-lite,bar_time,scatter_colored_symbol,35,260,272,332,132,72,264
5151,movies,vega-lite,bar_time,bar_count_single,17,260,224,296,108,72,276
5152,movies,vega-lite,bar_time,scatter_colored_continuous,17,260,252,312,112,60,230
5153,movies,vega-lite,bar_time,scatter_colored,23,260,256,316,116,60,230
5154,movies,vega-lite,bar_time,box_faceted,42,260,268,344,160,84,313
5155,movies,vega-lite,bar_time,pie_count,18,260,228,304,120,76,292
5156,movies,vega-lite,bar_time,error_bar,61,260,276,348,160,88,318
5157,movies,vega-lite,bar_time,bar_count_ordered,16,260,220,288,96,68,261
5158,movies,vega-lite,bar_time,histogram_colored,27,260,252,320,128,68,261
5159,movies,vega-lite,bar_time,box,12,260,236,304,112,68,261
5160,movies,vega-lite,bar_time,ols_separate,51,260,316,372,168,112,354
5161,movies,vega-lite,bar_time,bar_budget_avg_colored,30,260,264,332,140,72,272
5162,movies,vega-lite,bar_time,bar_count_colored,20,260,240,308,116,68,261
5163,movies,vega-lite,bar_time,histogram_line,23,260,224,304,124,80,307
5164,movies,vega-lite,bar_time,bar_budget,12,260,236,300,104,64,246
5165,movies,vega-lite,bar_time,scatter_connected,35,260,296,312,68,52,175
5166,movies,vega-lite,bar_time,heatmap_count,15,260,240,316,132,76,292
5167,movies,vega-lite,bar_time,heatmap_budget_avg,19,260,256,332,148,76,292
5168,movies,vega-lite,bar_time,scatter_ols_global,64,260,308,372,176,112,363
5169,movies,vega-lite,bar_time,bar_count,18,260,208,284,100,76,292
5170,movies,vega-lite,bar_time,slope,20,260,264,316,108,56,212
5171,movies,vega-lite,bar_time,line,1,260,260,268,16,8,30
5172,movies,vega-lite,bar_time,dotplot,27,260,212,292,112,80,307
5173,movies,vega-lite,bar_time,area_colored,13,260,284,296,48,36,126
5174,movies,vega-lite,bar_time,histogram,22,260,220,296,112,76,292
5175,movies,vega-lite,bar_time,bar_count_100,24,260,252,320,128,68,261
5176,movies,vega-lite,bar_time,histogram_faceted,43,260,276,344,152,84,304
5177,movies,vega-lite,histogram_colored,scatter_ols_separate,62,252,320,364,156,112,350
5178,movies,vega-lite,histogram_colored,line_colored,23,252,284,332,128,80,281
5179,movies,vega-lite,histogram_colored,area_colored_stacked,27,252,300,344,136,92,306
5180,movies,vega-lite,histogram_colored,stripes,17,252,264,324,132,72,272
5181,movies,vega-lite,histogram_colored,bar_budget_avg,19,252,236,276,64,40,158
5182,movies,vega-lite,histogram_colored,box_colored,28,252,264,304,92,52,196
5183,movies,vega-lite,histogram_colored,dotplot_avg,35,252,240,300,108,60,238
5184,movies,vega-lite,histogram_colored,bubble_agg,38,252,280,320,108,68,242
5185,movies,vega-lite,histogram_colored,bar_count_horizontal,23,252,220,272,72,52,206
5186,movies,vega-lite,histogram_colored,scatter,19,252,232,296,108,64,253
5187,movies,vega-lite,histogram_colored,bubble,27,252,268,316,112,64,238
5188,movies,vega-lite,histogram_colored,histogram_mean,17,252,236,280,72,44,174
5189,movies,vega-lite,histogram_colored,scatter_colored_symbol,27,252,272,316,108,64,235
5190,movies,vega-lite,histogram_colored,bar_count_single,28,252,224,264,52,40,158
5191,movies,vega-lite,histogram_colored,scatter_colored_continuous,17,252,252,304,104,52,206
5192,movies,vega-lite,histogram_colored,scatter_colored,15,252,256,296,84,44,171
5193,movies,vega-lite,histogram_colored,box_faceted,40,252,268,312,104,60,223
5194,movies,vega-lite,histogram_colored,pie_count,29,252,228,272,64,44,174
5195,movies,vega-lite,histogram_colored,error_bar,62,252,276,336,144,84,304
5196,movies,vega-lite,histogram_colored,bar_count_ordered,21,252,220,276,80,56,222
5197,movies,vega-lite,histogram_colored,bar_time,27,252,260,324,136,72,276
5198,movies,vega-lite,histogram_colored,box,20,252,236,292,96,56,222
5199,movies,vega-lite,histogram_colored,ols_separate,43,252,316,356,144,104,329
5200,movies,vega-lite,histogram_colored,bar_budget_avg_colored,26,252,264,292,68,40,151
5201,movies,vega-lite,histogram_colored,bar_count_colored,9,252,240,268,44,28,111
5202,movies,vega-lite,histogram_colored,histogram_line,13,252,224,264,52,40,158
5203,movies,vega-lite,histogram_colored,bar_budget,19,252,236,276,64,40,158
5204,movies,vega-lite,histogram_colored,scatter_connected,37,252,296,348,148,96,324
5205,movies,vega-lite,histogram_colored,heatmap_count,12,252,240,280,68,40,158
5206,movies,vega-lite,histogram_colored,heatmap_budget_avg,23,252,256,288,68,36,140
5207,movies,vega-lite,histogram_colored,scatter_ols_global,56,252,308,356,152,104,337
5208,movies,vega-lite,histogram_colored,bar_count,17,252,208,272,84,64,253
5209,movies,vega-lite,histogram_colored,slope,19,252,264,308,100,56,212
5210,movies,vega-lite,histogram_colored,line,28,252,260,328,144,76,292
5211,movies,vega-lite,histogram_colored,dotplot,20,252,212,280,96,68,269
5212,movies,vega-lite,histogram_colored,area_colored,23,252,284,332,128,80,281
5213,movies,vega-lite,histogram_colored,histogram,12,252,220,256,40,36,142
5214,movies,vega-lite,histogram_colored,bar_count_100,13,252,252,284,64,32,126
5215,movies,vega-lite,histogram_colored,histogram_faceted,16,252,276,284,40,32,115
5216,movies,vega-lite,box,scatter_ols_separate,84,236,320,352,148,116,362
5217,movies,vega-lite,box,line_colored,24,236,284,324,128,88,309
5218,movies,vega-lite,box,area_colored_stacked,28,236,300,340,144,104,346
5219,movies,vega-lite,box,stripes,13,236,264,308,116,72,272
5220,movies,vega-lite,box,bar_budget_avg,9,236,236,260,48,24,101
5221,movies,vega-lite,box,box_colored,24,236,264,268,36,32,121
5222,movies,vega-lite,box,dotplot_avg,11,236,240,268,60,32,133
5223,movies,vega-lite,box,bubble_agg,40,236,280,308,100,72,257
5224,movies,vega-lite,box,bar_count_horizontal,9,236,220,260,64,40,169
5225,movies,vega-lite,box,scatter,25,236,232,264,60,32,135
5226,movies,vega-lite,box,bubble,49,236,268,296,88,60,223
5227,movies,vega-lite,box,histogram_mean,13,236,236,284,96,48,203
5228,movies,vega-lite,box,scatter_colored_symbol,49,236,272,292,76,56,205
5229,movies,vega-lite,box,bar_count_single,10,236,224,276,92,52,220
5230,movies,vega-lite,box,scatter_colored_continuous,37,236,252,284,80,48,190
5231,movies,vega-lite,box,scatter_colored,37,236,256,284,76,48,187
5232,movies,vega-lite,box,box_faceted,52,236,268,284,64,48,179
5233,movies,vega-lite,box,pie_count,10,236,228,276,88,48,203
5234,movies,vega-lite,box,error_bar,38,236,276,312,112,76,275
5235,movies,vega-lite,box,bar_count_ordered,9,236,220,268,80,48,203
5236,movies,vega-lite,box,bar_time,12,236,260,304,112,68,261
5237,movies,vega-lite,box,histogram_colored,34,236,252,288,88,52,206
5238,movies,vega-lite,box,ols_separate,65,236,316,344,136,108,341
5239,movies,vega-lite,box,bar_budget_avg_colored,26,236,264,288,76,52,196
5240,movies,vega-lite,box,bar_count_colored,11,236,240,276,76,40,166
5241,movies,vega-lite,box,histogram_line,16,236,224,272,84,48,203
5242,movies,vega-lite,box,bar_budget,9,236,236,260,48,24,101
5243,movies,vega-lite,box,scatter_connected,36,236,296,332,132,96,324
5244,movies,vega-lite,box,heatmap_count,11,236,240,280,84,44,183
5245,movies,vega-lite,box,heatmap_budget_avg,15,236,256,284,76,48,187
5246,movies,vega-lite,box,scatter_ols_global,78,236,308,340,136,104,337
5247,movies,vega-lite,box,bar_count,11,236,208,260,76,52,220
5248,movies,vega-lite,box,slope,18,236,264,292,84,56,212
5249,movies,vega-lite,box,line,12,236,260,304,112,68,261
5250,movies,vega-lite,box,dotplot,13,236,212,264,80,52,220
5251,movies,vega-lite,box,area_colored,24,236,284,324,128,88,309
5252,movies,vega-lite,box,histogram,16,236,220,268,80,48,203
5253,movies,vega-lite,box,bar_count_100,15,236,252,288,88,52,206
5254,movies,vega-lite,box,histogram_faceted,43,236,276,304,96,68,246
5255,movies,vega-lite,ols_separate,scatter_ols_separate,76,316,320,344,52,28,87
5256,movies,vega-lite,ols_separate,line_colored,38,316,284,368,136,84,265
5257,movies,vega-lite,ols_separate,area_colored_stacked,43,316,300,384,152,84,265
5258,movies,vega-lite,ols_separate,stripes,47,316,264,376,172,112,354
5259,movies,vega-lite,ols_separate,bar_budget_avg,52,316,236,356,160,120,379
5260,movies,vega-lite,ols_separate,box_colored,44,316,264,356,132,92,291
5261,movies,vega-lite,ols_separate,dotplot_avg,59,316,240,356,156,116,367
5262,movies,vega-lite,ols_separate,bubble_agg,53,316,280,364,132,84,265
5263,movies,vega-lite,ols_separate,bar_count_horizontal,62,316,220,352,168,132,417
5264,movies,vega-lite,ols_separate,scatter,41,316,232,328,108,96,303
5265,movies,vega-lite,ols_separate,bubble,41,316,268,340,96,72,227
5266,movies,vega-lite,ols_separate,histogram_mean,51,316,236,352,152,116,367
5267,movies,vega-lite,ols_separate,scatter_colored_symbol,41,316,272,344,100,72,227
5268,movies,vega-lite,ols_separate,bar_count_single,61,316,224,344,148,120,379
5269,movies,vega-lite,ols_separate,scatter_colored_continuous,31,316,252,332,96,80,253
5270,movies,vega-lite,ols_separate,scatter_colored,29,316,256,324,76,68,215
5271,movies,vega-lite,ols_separate,box_faceted,70,316,268,364,144,96,303
5272,movies,vega-lite,ols_separate,pie_count,61,316,228,344,144,116,367
5273,movies,vega-lite,ols_separate,error_bar,72,316,276,388,184,112,354
5274,movies,vega-lite,ols_separate,bar_count_ordered,50,316,220,356,176,136,430
5275,movies,vega-lite,ols_separate,bar_time,51,316,260,372,168,112,354
5276,movies,vega-lite,ols_separate,histogram_colored,43,316,252,352,136,100,316
5277,movies,vega-lite,ols_separate,box,65,316,236,344,136,108,341
